raw_genre,main_genre
alternative metal,Metal
alternative rock,Rock
alternative hip hop,Hip Hop
album rock,Rock
dance pop,Pop
hip hop,Hip Hop
east coast hip hop,Hip Hop
conscious hip hop,Hip Hop
electronica,Electronic
atl hip hop,Hip Hop
pop,Pop
art pop,Pop
classical,Classical
escape room,Unclassified
banjo,Folk
afrofuturism,Afrofuturism
adult standards,Jazz
classic rock,Rock
chicago rap,Hip Hop
hard rock,Rock
abstract hip hop,Hip Hop
bass house,Electronic
g funk,Hip Hop
baroque,Classical
alternative r&b,R&B
classic soul,R&B
bubblegum bass,Electronic
permanent wave,Rock
comedy,Comedy
australian electropop,Electronic
detroit hip hop,Hip Hop
environmental,White Noise
canadian contemporary r&b,R&B
australian psych,Rock
electro,Electronic
chamber pop,Pop
bebop,Jazz
chillhop,Hip Hop
motown,R&B
classic persian pop,World
edm,Electronic
chillwave,Electronic
contemporary jazz,Jazz
dirty south rap,Hip Hop
alternative dance,Electronic
shimmer pop,Pop
ambient,Electronic
blues rock,Rock
comedy rock,Comedy
indie soul,R&B
latin alternative,Latin
american folk revival,Folk
colombian pop,Pop
gangster rap,Hip Hop
disco,Pop
indie hip hop,Hip Hop
reggae,Reggae
afro-cuban percussion,Latin
comedy rap,Hip Hop
neo mellow,Pop
contemporary post-bop,Jazz
latin viral pop,Latin
garage rock,Rock
instrumental math rock,Rock
latin jazz,Jazz
austin metal,Metal
bubblegrunge,Rock
djent,Metal
hollywood,Metal
jazz piano,Jazz
reggaeton,Reggaeton
uk contemporary jazz,Jazz
african-american classical,Classical
boogaloo,Latin
instrumental rock,Rock
new comedy,Comedy
acid rock,Rock
canadian hip hop,Hip Hop
crank wave,Electronic
deconstructed club,Electronic
grunge,Rock
hip pop,Hip Hop
jam band,Rock
rap rock,Rock
sleep,White Noise
barbadian pop,Pop
experimental hip hop,Hip Hop
asmr,White Noise
boy band,Pop
comic,Comedy
emo,Rock
house,Electronic
jazz trio,Jazz
latin pop,Latin
modern rock,Rock
salsa,Latin
big band,Jazz
christian metal,Metal
cool jazz,Jazz
dark trap,Hip Hop
glam rock,Rock
afrobeat,World
black comedy,Comedy
cali rap,Hip Hop
cumbia,Latin
funk metal,Metal
houston rap,Hip Hop
modern alternative rock,Rock
pop rap,Hip Hop
psychedelic hip hop,Hip Hop
underground hip hop,Hip Hop
yacht rock,Rock
afropop,World
australian alternative rock,Rock
avant-garde jazz,Jazz
baroque pop,Pop
chicago drill,Hip Hop
chill abstract hip hop,Hip Hop
melodic rap,Hip Hop
nyc rap,Hip Hop
ocean,White Noise
ohio hip hop,Hip Hop
r&b,R&B
dark techno,Electronic
destroy techno,Electronic
german soundtrack,Soundtrack
hardcore punk,Punk
pop rock,Rock
raw techno,Electronic
afghan pop,Pop
ann arbor indie,Indie
arkansas country,Country
canadian classical,Classical
contemporary country,Country
doom metal,Metal
downtempo,Electronic
flamenco,World
groove metal,Metal
jazztronica,Electronic
musique nigerienne,World
portland metal,Metal
synth punk,Punk
arkansas indie,Indie
australian dance,Pop
australian techno,Techno
beatlesque,Rock
boston rock,Rock
british indie rock,Rock
broadway,Soundtrack
bronx hip hop,Hip Hop
canadian electropop,Pop/Electronic
canadian rock,Rock
candy pop,Pop
cloud rap,Hip Hop
cosmic american,Rock
experimental jazz,Jazz
folk,Folk
pov: indie,Indie
progressive house,Electronic
rap,Hip Hop
abstract beats,Electronic
alt z,Pop
australian metal,Metal
bmore,Electronic
british blues,Blues
canadian indie,Indie
classic swedish pop,Pop
hard bop,Jazz
indie jazz,Jazz
indie punk,Punk
lilith,Pop
memphis hip hop,Hip Hop
pop punk,Punk
uk post-punk revival,Rock
vaportrap,Electronic
acoustic blues,Blues
acoustic punk,Punk
appalachian folk,Folk
art rock,Rock
bedroom pop,Pop
bluegrass,Folk
blues,Blues
brass band,Jazz
canadian electronic,Electronic
classic uk pop,Pop
contemporary r&b,R&B
cuban funk,Funk
dutch house,Electronic
hammered dulcimer,Work
indie rock,Rock
neo soul,Soul
post-doom metal,Metal
albuquerque indie,Indie
bboy,Hip Hop
big room,Electronic
black punk,Punk
boston hip hop,Hip Hop
bow pop,Pop
british folk,Folk
britpop,Pop
brooklyn indie,Indie
canadian pop,Pop
chicago indie,Indie
chicano rap,Hip Hop
classic italian pop,Pop
contemporary vocal jazz,Jazz
crunk,Hip Hop
deep comedy,Comedy
deep house,Electronic
digital hardcore,Electronic
electric bass,Instrumental
experimental electronic,Electronic
experimental guitar,Jazz
experimental rock,Rock
fado,World
glam metal,Metal
hardcore hip hop,Hip Hop
indie garage rock,Rock
jazz rap,Hip Hop
jersey club,Electronic
latin afrobeat,Latin
new jersey underground rap,Hip Hop
new romantic,Pop
one-person band,Unclassified
operatic pop,Pop
uk contemporary r&b,R&B
vogue,Electronic
west virginia indie,Indie
ambient house,Electronic
ambient pop,Electronic
anarcho-punk,Punk
arab pop,World
atmospheric post-metal,Metal
austin rock,Rock
australian house,Electronic
avant-garde,Experimental
baltimore hip hop,Hip Hop
bay area indie,Indie
boston punk,Punk
chicago soul,Soul
chicha,Latin
classic texas country,Country
country rock,Country
crack rock steady,Punk
dancehall,Reggae
death metal,Metal
drone metal,Metal
easy listening,Pop
ectofolk,Folk
electropop,Pop
filter house,Electronic
funk,Funk
german alternative rap,Hip Hop
ghettotech,Electronic
girl group,Pop
gruperas inmortales,Latin
indie folk,Folk
indie r&b,R&B
indietronica,Electronic
industrial rock,Rock
instrumental funk,Funk
jazz cubano,Jazz
jazz funk,Jazz
jazz quartet,Jazz
jazz vibraphone,Jazz
lancaster pa indie,Indie
latin hip hop,Hip Hop
mellow gold,Pop
melodic metalcore,Metal
movie tunes,Soundtrack
native american contemporary,World
neo-psychedelic,Rock
new wave pop,Pop
north carolina metal,Metal
nu metal,Metal
oc indie,Indie
pittsburgh rap,Hip Hop
pop dance,Pop
progressive sludge,Metal
rare groove,R&B
san diego rap,Hip Hop
soca,World
soft rock,Rock
stutter house,Electronic
sunshine pop,Pop
swedish gangsta rap,Hip Hop
trop rock,Rock
underground rap,Hip Hop
viral pop,Pop
aarhus indie,Indie
abstract,Experimental
acoustic pop,Pop
ai,Electronic
alabama rap,Hip Hop
algorave,Electronic
alternative americana,Americana
alternative country,Country
alternative pop,Pop
alternative roots rock,Rock
ambeat,Electronic
ambient techno,Electronic
argentine rock,Rock
atl trap,Hip Hop
aussietronica,Electronic
austindie,Indie
australian alternative pop,Pop
australian pop,Pop
austrian indie,Indie
austro-german modernism,Classical
azeri traditional,World
balearic,Electronic
balkan beats,World
belarusian indie,Indie
belgian pop,Pop
belly dance,World
bhangra,World
big beat,Electronic
binaural,White Noise
black metal,Metal
bleep techno,Techno
bolero,Latin
bossa nova,Latin
boston indie,Indie
brazilian boogie,World
bristol indie,Indie
british alternative rock,Rock
british industrial,Industrial
british math rock,Rock
bronx drill,Hip Hop
brostep,Electronic
bubblegum pop,Pop
canadian modern jazz,Jazz
canadian old school hip hop,Hip Hop
cello,Classical
cha-cha-cha,Latin
chaotic hardcore,Punk
chill beats,Electronic
chill house,Electronic
chinese classical performance,Classical
cincinnati indie,Indie
classic country pop,Country
classic garage rock,Rock
classic oklahoma country,Country
classic soundtrack,Soundtrack
clean comedy,Comedy
compositional ambient,Electronic
country,Country
dance rock,Rock
dark clubbing,Electronic
deathcore,Metal
deep disco house,Electronic
deep latin alternative,Latin
dfw rap,Hip Hop
doo-wop,R&B
downtempo bass,Electronic
dreampunk,Electronic
dub,Reggae
dutch edm,Electronic
dutch indie,Indie
dutch pop,Pop
early us punk,Punk
east coast reggae,Reggae
edmonton indie,Indie
el paso indie,Indie
europop,Pop
finnish modern jazz,Jazz
folk punk,Punk
folk rock,Rock
footwork,Electronic
french indie pop,Pop
french indietronica,Electronic
funk carioca,Funk
garage pop,Pop
gen z singer-songwriter,Pop
glitch,Electronic
glitch hop,Electronic
glitchcore,Electronic
gospel soul,Gospel
harpsichord,Classical
heartland rock,Rock
hip house,Electronic
horror punk,Punk
indie pop,Pop
indie surf,Indie
indonesian hip hop,Hip Hop
instrumental hip hop,Hip Hop
instrumental progressive metal,Metal
instrumental stoner rock,Rock
instrumental surf,Rock
italian adult pop,Pop
korean trap,Hip Hop
k-pop,Pop
k-pop girl group,Pop
latinx alternative,Latin
lgbtq+ hip hop,Hip Hop
livetronica,Electronic
madchester,Rock
math rock,Rock
meme,Pop
metropopolis,Electronic
mexican pop,Pop
modern hard rock,Rock
molam,World
nashville indie,Indie
nashville sound,Country
neo r&b,R&B
neo-classical,Classical
nerdcore,Hip Hop
new americana,Americana
north carolina hip hop,Hip Hop
nu gaze,Rock
old school hip hop,Hip Hop
olympia wa indie,Indie
organic electronic,Electronic
persian pop,World
polish techno,Techno
pop r&b,R&B
pop reggaeton,Reggaeton
pop soul,R&B
portland hip hop,Hip Hop
post-metal,Metal
progressive jazz fusion,Jazz
puerto rican pop,Pop
rap kreyol,Hip Hop
retro soul,Soul
rhode island indie,Indie
rock drums,Rock
russian alt pop,Pop
russian electronic,Electronic
rva indie,Indie
sad rap,Hip Hop
scorecore,Soundtrack
scottish indie,Indie
shimmer psych,Rock
singer-songwriter pop,Pop
ska revival,Reggae
supergroup,Rock
tempe indie,Indie
trap queen,Hip Hop
tropical house,Electronic
turkish pop,Pop
uk alternative pop,Pop
vaporwave,Electronic
victoria bc indie,Indie
viral rap,Hip Hop
wonky,Electronic
acoustic rock,Rock
arab groove,World
australian reggae fusion,Reggae
banda,Latin
brisbane indie,Indie
brooklyn drill,Hip Hop
chill dream pop,Pop
corrido,Latin
dance-punk,Electronic
german dance,Electronic
grime,Hip Hop
latin talent show,Latin
mambo,Latin
manchester hip hop,Hip Hop
mariachi,Latin
melodic drill,Hip Hop
musiqi-ye zanan,World
new jersey indie,Indie
new york drill,Hip Hop
novelty,Parody
regional mexicano femenil,Latin
slowcore,Rock
uk alternative hip hop,Hip Hop
uk hip hop,Hip Hop
white noise,White Noise
rain,White Noise
color noise,White Noise
american post-punk,Rock
anti-folk,Folk
art punk,Punk
athens indie,Indie
atlanta metal,Metal
australian indie,Indie
austrian pop,Pop
avant-garde metal,Metal
balkan brass,World
baltimore indie,Indie
bassline,Electronic
bc underground hip hop,Hip Hop
bitpop,Electronic
bluegrass gospel,Gospel
boom bap,Hip Hop
braindance,Electronic
brazilian jazz,Jazz
breakbeat,Electronic
british invasion,Rock
california hardcore,Punk
canadian metal,Metal
canadian soundtrack,Soundtrack
cascadia psych,Psych
celtic punk,Punk
chicago bop,Jazz
chinese classical piano,Classical
christian metalcore,Metal
classic bhangra,World
classic canadian rock,Rock
classical drill,Classical
classical era,Classical
comic metal,Metal
countrygaze,Country
cuban rumba,World
cumbia amazonica,World
dancehall queen,Reggae
danish modern jazz,Jazz
darbuka,World
dark cabaret,Cabaret
dark pop,Pop
dc hardcore,Punk
desert blues,Blues
detroit house,Electronic
detroit rock,Rock
dissonant death metal,Metal
dixieland,Jazz
double drumming,World
drain,Electronic
dream pop,Pop
dreamo,Rock
drill,Hip Hop
drone,Electronic
drumless hip hop,Hip Hop
dutch prog,Prog
early avant garde,Experimental
early romantic era,Classical
egg punk,Punk
electra,Electronic
electric blues,Blues
electro house,Electronic
electrofox,Electronic
electronic trap,Electronic
ethio-jazz,Jazz
experimental pop,Pop
fado antigo,World
finnish classical,Classical
float house,Electronic
fluxwork,Electronic
folktronica,Folk
free improvisation,Jazz
free jazz,Jazz
french death metal,Metal
french opera,Opera
french romanticism,Classical
french tech house,Electronic
french techno,Electronic
funk ostentacao,Funk
funk rock,Rock
funktronica,Electronic
future garage,Electronic
garage rock revival,Rock
geek rock,Rock
german jazz rap,Jazz
german romanticism,Classical
german techno,Electronic
g-house,Electronic
glitch pop,Pop
golden age hip hop,Hip Hop
gothenburg metal,Metal
gothic metal,Metal
hardvapour,Electronic
harlem renaissance,Jazz
hawaiian hip hop,Hip Hop
hyperpop,Pop
hypnagogic pop,Pop
icelandic electronic,Electronic
impressionism,Classical
indian fusion,Fusion
indie pop rap,Pop
indie poptimism,Pop
indie psych-pop,Pop
industrial metal,Metal
instrumental bluegrass,Bluegrass
instrumental djent,Metal
intelligent dance music,Electronic
italian pop,Pop
italian soundtrack,Soundtrack
jamgrass,Bluegrass
jamtronica,Electronic
jangle pop,Pop
japanese psychedelic,Psychedelic
jazz,Jazz
jazz metal,Metal
jazz saxophone,Jazz
la pop,Pop
late romantic era,Classical
latintronica,Latin
lebanese pop,Pop
liverpool indie,Indie
lo-fi,Electronic
lo-fi indie,Electronic
lovers rock,Reggae
mashup,Pop
math pop,Pop
melodic death metal,Metal
melodic techno,Techno
memphis soul,Soul
metal,Metal
metalcore,Metal
miami hip hop,Hip Hop
microhouse,Electronic
milwaukee hip hop,Hip Hop
minimal dub,Electronic
minnesota hip hop,Hip Hop
mississippi hip hop,Hip Hop
modern blues rock,Blues
modern country pop,Country
modern indie folk,Folk
modern old-time,Folk
modern power pop,Pop
modern southern rock,Rock
montreal indie,Indie
musica mexicana,World
musica popular colombiana,World
musica tradicional cubana,World
native american traditional,World
new jersey hardcore,Punk
new orleans funk,Funk
new orleans rap,Hip Hop
new wave,Rock
noise,Electronic
noise rock,Rock
norteno,Latin
old-time,Folk
orchestral soundtrack,Soundtrack
orebro indie,Indie
outlaw country,Country
parody,Comedy
persian alternative,Alternative
persian rock,Rock
piedmont blues,Blues
pink noise,Electronic
plugg,Electronic
pluggnb,Electronic
political hip hop,Hip Hop
post-grunge,Rock
post-teen pop,Pop
progressive alternative,Alternative
progressive bluegrass,Bluegrass
progressive trance,Trance
protopunk,Punk
psychobilly,Rock
punk,Punk
purple sound,Electronic
quebec indie,Indie
queens hip hop,Hip Hop
ranchera,Latin
reggae fusion,Reggae
reggaeton colombiano,Reggaeton
rhythm and blues,R&B
rock-and-roll,Rock
roots reggae,Reggae
rumba,Latin
russian post-punk,Punk
salsa colombiana,Latin
schranz,Electronic
scottish rock,Rock
show tunes,Soundtrack
singer-songwriter,Folk
sludge metal,Metal
solo wave,Electronic
soul,R&B
southern hip hop,Hip Hop
southern metal,Metal
stoner metal,Metal
stoner rock,Rock
swedish hip hop,Hip Hop
swedish pop,Pop
synth funk,Electronic
tech house,Electronic
tejano,Latin
traditional ska,Ska
trap,Hip Hop
trap latino,Latin
trip hop,Electronic
tropical,Latin
tuareg guitar,World
tzadik,World
uk dance,Electronic
uk pop,Pop
urban contemporary,R&B
vincy soca,Soca
viral trap,Hip Hop
vocal jazz,Jazz
water,Electronic
world,World
atlanta indie,Indie
austropop,Pop
birmingham metal,Metal
chamber psych,Psych
chicago blues,Blues
chicago punk,Punk
christian rock,Rock
classical performance,Classical
collage pop,Pop
country dawn,Country
country gospel,Gospel
country road,Country
crossover thrash,Metal
cumbia peruana,Latin
cyberpunk,Electronic
desi hip hop,Hip Hop
detroit techno,Electronic
dubstep,Electronic
dutch rock,Rock
early modern classical,Classical
early music,Classical
egyptian pop,Pop
elephant 6,Rock
experimental r&b,R&B
fado de coimbra,World
florida death metal,Metal
florida rap,Hip Hop
french metal,Metal
funk paulista,Funk
german baroque,Classical
german pop,Pop
grebo,Rock
gypsy fusion,World
idaho indie,Indie
indiana hip hop,Hip Hop
industrial,Electronic
industrial techno,Electronic
instrumental soul,Soul
jamaican dancehall,Reggae
japanese psychedelic rock,Rock
jazz pop,Jazz
latin rock,Rock
latin tech house,Electronic
london indie,Indie
lounge,Electronic
malian blues,Blues
mathcore,Metal
melancholia,Classical
melodic thrash,Metal
meme rap,Hip Hop
mexican classic rock,Rock
miami bass,Electronic
microtonal,Classical
middle earth,World
minimal melodic techno,Electronic
minneapolis sound,Electronic
modern folk rock,Rock
musica andorra,World
nashville singer-songwriter,Folk
neon pop punk,Rock
neo-synthpop,Pop
neo-traditional bluegrass,Bluegrass
new jersey punk,Punk
new jersey rap,Hip Hop
noise pop,Pop
norwegian classical,Classical
norwegian indie,Indie
nu disco,Electronic
nu skool breaks,Electronic
nu-cumbia,Latin
nwobhm,Metal
nyc pop,Pop
old school bassline,Electronic
old school dancehall,Reggae
old school thrash,Metal
old-time fiddle,Folk
oxford indie,Indie
partyschlager,Pop
philly rap,Hip Hop
piano rock,Rock
pixie,Electronic
polish classical,Classical
post-hardcore,Punk
post-punk,Rock
post-romantic era,Classical
power electronics,Electronic
power pop,Pop
progressive death metal,Metal
progressive electro house,Electronic
progressive metal,Metal
progressive metalcore,Metal
proto-hyperpop,Pop
psicodelia brasileira,Rock
psychedelic rock,Rock
punk blues,Blues
quiet storm,R&B
r&b en espanol,R&B
rage rap,Hip Hop
rap metal,Metal
reggae rock,Rock
riot grrrl,Punk
rock,Rock
rockabilly,Rock
sad sierreno,Latin
salsa international,Latin
santoor,World
scottish electronic,Electronic
seattle hip hop,Hip Hop
seattle metal,Metal
ska,Ska
ska mexicano,Ska
slap house,Electronic
sophisti-pop,Pop
soul jazz,Jazz
souldies,Soul
soundtrack,Soundtrack
sovietwave,Electronic
space age pop,Pop
steampunk,Rock
stockholm indie,Indie
straight-ahead jazz,Jazz
swing,Jazz
swiss house,Electronic
synthpop,Pop
talent show,Pop
traditional blues,Blues
traditional country,Country
trance,Electronic
uk metalcore,Metal
uk tech house,Electronic
urbano latino,Latin
vapor twitch,Electronic
west end,Electronic
canadian trap,Hip Hop
christian punk,Punk
classical piano,Classical
contemporary classical,Classical
country blues,Blues
dayton indie,Indie
electronic rock,Rock
electropowerpop,Pop
english baroque,Classical
gauze pop,Pop
german rock,Rock
grave wave,Electronic
gypsy punk,Punk
hardcore techno,Electronic
hauntology,Electronic
jazz drums,Jazz
jazz fusion,Jazz
jazz harp,Jazz
jazz house,Jazz
jazz trumpet,Jazz
la indie,Indie
louisiana metal,Metal
merseybeat,Rock
mexican hip hop,Hip Hop
minimal techno,Electronic
modern country rock,Country
modern jazz piano,Jazz
musique touareg,World
nederpop,Pop
new rave,Electronic
no wave,Punk
nu jazz,Jazz
nu-metalcore,Metal
nyhc,Punk
oakland indie,Punk
old school atlanta hip hop,Hip Hop
p funk,Funk
palm desert scene,Rock
pop electronico,Electronic
pop emo,Pop
post-disco,Disco
power-pop punk,Pop
progressive rock,Rock
psybass,Electronic
puerto rican rock,Rock
reading indie,Indie
rock en espanol,Rock
russian romanticism,Classical
sacramento indie,Indie
samba-jazz,Jazz
san diego indie,Indie
scottish hip hop,Hip Hop
seattle indie,Indie
shoegaze,Rock
ska punk,Punk
skate punk,Punk
soul blues,Blues
southern rock,Rock
southern soul,Soul
swedish electropop,Pop
technical death metal,Metal
tennessee hip hop,Hip Hop
traditional bluegrass,Bluegrass
traditional folk,Folk
uplifting trance,Trance
welsh indie,Indie
west coast rap,Hip Hop
yodeling,Folk
zolo,World
experimental vocal,Experimental
fourth world,World
gaian doom,Doom
gbvfi,Electronic
halftime dnb,Electronic
hamburg hip hop,Hip Hop
hungarian contemporary classical,Classical
jewish hip hop,Hip Hop
kiwi rock,Rock
melbourne bounce,Electronic
mexican rock,Rock
modular synth,Electronic
new orleans jazz,Jazz
nintendocore,Electronic
northern irish indie,Indie
northern soul,Soul
norwegian black metal,Metal
norwegian space disco,Electronic
nz electronic,Electronic
philly indie,Indie
philly soul,Soul
post-rock,Rock
progressive groove metal,Metal
psychedelic punk,Punk
psychedelic soul,Soul
rap conciencia,Hip Hop
rave,Electronic
rif,World
rocksteady,Reggae
serialism,Classical
sheffield indie,Indie
sierreno,Latin
socal pop punk,Punk
spectra,Electronic
spiritual jazz,Jazz
stomp and holler,Folk
stride,Jazz
swamp rock,Rock
texas latin rap,Latin
thrash metal,Metal
trancecore,Electronic
tropical alternativo,Latin
turntablism,Hip Hop
uk experimental electronic,Electronic
uk post-punk,Punk
vancouver indie,Indie
vintage country folk,Country
virginia hip hop,Hip Hop
